법정동,단지명,주소,세대수,준공연도,브랜드,건축유형,역세권,노선,전용면적,평형,2025.03,거래일,2024.01~03,2022.01~03,2025.05_추정_실거래가,2025.05_보정_추정실거래가,20250521호가,기준단지_평단가,보정_평단가,유사단지,대지지분,추정가,추천 태그,리포트 링크
잠원동,한신타워,잠원로3길 15,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",74.3,32.0,9.4,2017.03,-,-,28.43,28.43,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 16,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",84.93,32.0,27,2025.03,-,24.1,27.0,27.0,30,0.31790886612504415,,,,,,
잠원동,한신타워,잠원로3길 17,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",68.09,29.0,16.5,2023.02,-,-,28.43,21.3,-,0.0,,,,,,
잠원동,한신타워,잠원로3길 18,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",66.02,28.0,12.5,2018.03,-,-,28.43,28.43,26,0.0,,,,,,
잠원동,한신타워,잠원로3길 19,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",59.81,25.0,20.5,2024.08,-,-,28.43,28.43,23,0.0,,,,,,
잠원동,한신타워,잠원로3길 20,250.0,1996.0,90년대형,리모델링,Y,"3,7,9",59.4,25.0,20,2025.03,-,-,20.0,20.0,23.2,0.3367003367003367,,,,,,
잠원동,보미리전빌,신반포로41길 55,41.0,2001.0,나홀로,기축,N,"3, 신분당선",115.24,40.0,16.45,2024.09,-,-,28.43,28.43,20,0.0,,,,,,
잠원동,보미리전빌,신반포로41길 56,41.0,2001.0,나홀로,기축,N,"3, 신분당선",84.94,31.0,14,2025.02,-,-,14.0,14.0,-,0.1648222274546739,,,,,,
잠원동,블루힐하우스,잠원로 85,125.0,1999.0,나홀로,기축,Y,3,84.54,34.0,25,2025.03,-,-,25.0,25.0,26,0.2957180033120416,,,,,,
잠원동,블루힐하우스,잠원로 86,125.0,1999.0,나홀로,기축,Y,3,59.85,24.0,21.9,2025.03,16.8,-,21.9,21.9,-,0.3659147869674185,,,,,,
잠원동,빌폴라리스,잠원로 221-25,15.0,2003.0,나홀로,기축,N,"3, 신분당선",244.76,88.0,62,2024.05,,33,76.5040228892903,76.5040228892903,75,0.31256750649325993,,,,,,
잠원동,새서울,강남대로99길 28,20.0,1975.0,나홀로,기축,Y,"3, 신분당선",148.3,48.0,-,2018.01,-,-,0.0,0.0,22,0.0,,,,,,
